業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0002,千房FC,500001,FC第1エリア,546   ,江坂店,2026/04/28,火,平日,,曇,26.0,14.0,計,57825,80000,0.7228,0.7019,117928,0.4903,36,26,1606.3,1.06,48,0.7500,53,0.6792,12560,6200,0.1072,0.3801,,0,0.0000,0.0000,0.1072,0.3801,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,546   ,江坂店,2026/04/29,水,日祝,,曇,19.0,15.0,計,92263,140000,0.6590,0.6819,,,35,16,2636.1,1.03,70,0.5000,,,25189,,0.0000,0.2087,,0,0.0000,0.0000,0.0000,0.2087,0,,,0.0000,
0002,千房FC,500001,FC第1エリア,546   ,江坂店,2026/04/30,木,平日,,雨,16.0,12.0,計,43906,80000,0.5488,0.6539,114890,0.3822,28,11,1568.1,0.82,48,0.5833,67,0.4179,12560,32644,0.7435,0.3032,,0,0.0000,0.0000,0.7435,0.3032,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,554   ,ザ・モール仙台長町店,2026/04/27,月,平日,,雨,14.0,11.0,計,66112,80000,0.8264,0.8264,94597,0.6989,36,19,1836.4,0.72,48,0.7500,58,0.6207,0,57105,0.8638,0.8638,,0,0.0000,0.0000,0.8638,0.8638,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,554   ,ザ・モール仙台長町店,2026/04/28,火,平日,,晴,20.0,11.0,計,77927,99569,0.7826,0.8021,147907,0.5269,51,24,1528.0,1.02,58,0.8793,90,0.5667,0,9140,0.1173,0.4599,,0,0.0000,0.0000,0.1173,0.4599,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,554   ,ザ・モール仙台長町店,2026/04/29,水,日祝,,曇,12.0,10.0,計,193568,160224,1.2081,0.9936,175383,1.1037,115,49,1683.2,2.30,95,1.2105,56,2.0536,0,8390,0.0433,0.2211,,0,0.0000,0.0000,0.0433,0.2211,0,,,0.0000,
0002,千房FC,500002,FC第2エリア,554   ,ザ・モール仙台長町店,2026/04/30,木,平日,,晴,16.0,6.0,計,156675,80000,1.9584,1.1774,48679,3.2185,31,15,5054.0,0.62,48,0.6458,26,1.1923,0,2000,0.0128,0.1550,,0,0.0000,0.0000,0.0128,0.1550,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,558   ,ADVANCE 広尾店,2026/04/27,月,平日,,曇,20.0,14.0,計,358164,220000,1.6280,1.6280,197615,1.8124,16,6,22385.3,0.76,22,0.7273,9,1.7778,0,13789,0.0385,0.0385,,32492,0.0907,0.0907,0.1292,0.1292,1208,17789.6,,0.0000,
0002,千房FC,500003,FC第3エリア,558   ,ADVANCE 広尾店,2026/04/28,火,平日,,晴,22.0,13.0,計,148400,220000,0.6745,1.1513,106716,1.3906,11,4,13490.9,0.52,22,0.5000,9,1.2222,0,64489,0.4346,0.1545,,26661,0.1797,0.1168,0.6142,0.2713,1012,8798.4,,0.0000,
0002,千房FC,500003,FC第3エリア,558   ,ADVANCE 広尾店,2026/04/29,水,日祝,,曇,20.0,15.0,計,282949,300000,0.9432,1.0669,79157,3.5745,18,6,15719.4,0.86,11,1.6364,5,3.6000,0,3526,0.0125,0.1036,,34817,0.1231,0.1190,0.1355,0.2226,1325,12812.8,,0.0000,
