業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/25,月,平日,,晴,29.0,20.0,計,477073,400000,1.1927,1.1927,521574,0.9147,225,89,2120.3,2.56,200,1.1250,228,0.9868,0,82438,0.1728,0.1728,0,104299,0.2186,0.2186,0.3914,0.3914,4574,6258.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/26,火,平日,,晴,29.0,21.0,計,420648,500000,0.8413,0.9975,538968,0.7805,201,86,2092.8,2.28,250,0.8040,218,0.9220,0,122535,0.2913,0.2283,0,97990,0.2330,0.2253,0.5243,0.4537,4138,6099.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/27,水,平日,,曇,24.0,22.0,計,572510,500000,1.1450,1.0502,556488,1.0288,230,89,2489.2,2.61,250,0.9200,244,0.9426,0,53022,0.0926,0.1755,0,115131,0.2011,0.2159,0.2937,0.3914,4457,7707.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/28,木,平日,,曇,28.0,20.0,計,541631,500000,1.0833,1.0589,490254,1.1048,214,82,2531.0,2.43,250,0.8560,216,0.9907,0,148009,0.2733,0.2018,0,112102,0.2070,0.2135,0.4802,0.4153,4084,7957.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/29,金,平日,,晴,28.0,22.0,計,612305,600000,1.0205,1.0497,679132,0.9016,267,91,2293.3,3.03,300,0.8900,314,0.8503,0,125823,0.2055,0.2027,0,141405,0.2309,0.2176,0.4364,0.4202,5175,7099.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/30,土,土曜,,晴,29.0,17.0,計,757528,800000,0.9469,1.0248,1078156,0.7026,334,138,2268.0,3.80,400,0.8350,383,0.8721,0,314043,0.4146,0.2501,0,166381,0.2196,0.2180,0.6342,0.4682,6618,6867.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/31,日,日祝,,晴,29.0,22.0,計,691538,750000,0.9221,1.0057,288285,2.3988,312,114,2216.5,3.55,375,0.8320,142,2.1972,0,,0.0000,0.2077,0,176341,0.2550,0.2243,0.2550,0.4320,6762,6136.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/25,月,平日,,晴,29.0,19.0,計,107252,100000,1.0725,1.0725,104963,1.0218,61,36,1758.2,0.69,53,1.1509,62,0.9839,0,82288,0.7672,0.7672,0,45113,0.4206,0.4206,1.1879,1.1879,2150,2993.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/26,火,平日,,晴,29.0,20.0,計,151156,100000,1.5116,1.2920,107862,1.4014,90,47,1679.5,1.02,53,1.6981,63,1.4286,0,45313,0.2998,0.4938,0,56583,0.3743,0.3935,0.6741,0.8873,2440,3717.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/27,水,平日,,曇,24.0,22.0,計,183932,90000,2.0437,1.5253,94347,1.9495,92,46,1999.3,1.05,47,1.9574,58,1.5862,0,99923,0.5433,0.5144,0,52479,0.2853,0.3485,0.8286,0.8629,2445,4513.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/28,木,平日,,曇,27.0,20.0,計,131788,130000,1.0138,1.3670,142532,0.9246,63,36,2091.9,0.72,68,0.9265,81,0.7778,0,4807,0.0365,0.4047,0,57923,0.4395,0.3694,0.4760,0.7741,2583,3061.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/29,金,平日,,晴,28.0,20.0,計,341055,120000,2.8421,1.6948,124647,2.7362,214,118,1593.7,2.43,63,3.3968,63,3.3968,0,151493,0.4442,0.4194,0,102895,0.3017,0.3442,0.7459,0.7636,4245,4820.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/30,土,土曜,,晴,30.0,16.0,計,422565,300000,1.4086,1.5926,313789,1.3467,266,131,1588.6,3.02,158,1.6835,158,1.6835,0,40903,0.0968,0.3175,0,142384,0.3370,0.3419,0.4337,0.6594,5831,4348.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/31,日,日祝,,晴,29.0,20.0,計,441684,230000,1.9204,1.6630,102857,4.2942,251,122,1759.7,2.85,121,2.0744,55,4.5636,0,6300,0.0143,0.2422,0,119948,0.2716,0.3244,0.2858,0.5667,4707,5630.1,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/25,月,平日,,晴,30.0,18.0,計,231129,200000,1.1556,1.1556,82317,2.8078,105,48,2201.2,3.09,129,0.8140,35,3.0000,0,84087,0.3638,0.3638,0,55890,0.2418,0.2418,0.6056,0.6056,2222,6241.1,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/26,火,平日,,晴,30.0,20.0,計,217562,200000,1.0878,1.1217,208918,1.0414,90,45,2417.4,2.65,129,0.6977,96,0.9375,0,53208,0.2446,0.3060,0,59737,0.2746,0.2577,0.5191,0.5637,2384,5475.6,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/27,水,平日,,曇,25.0,21.0,計,234493,200000,1.1725,1.1386,281686,0.8325,98,51,2392.8,2.88,129,0.7597,124,0.7903,0,49052,0.2092,0.2728,0,57491,0.2452,0.2534,0.4544,0.5262,2618,5374.2,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/28,木,平日,,曇,27.0,21.0,計,235680,200000,1.1784,1.1486,264546,0.8909,101,53,2333.5,2.97,129,0.7829,127,0.7953,0,71986,0.3054,0.2811,0,54989,0.2333,0.2482,0.5388,0.5294,2044,6918.2,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/29,金,平日,,晴,26.0,20.0,計,271507,200000,1.3575,1.1904,226522,1.1986,114,56,2381.6,3.35,129,0.8837,101,1.1287,0,93423,0.3441,0.2955,0,56671,0.2087,0.2392,0.5528,0.5347,2236,7285.5,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/30,土,土曜,,晴,30.0,15.0,計,369040,350000,1.0544,1.1551,313981,1.1754,151,71,2444.0,4.44,270,0.5593,136,1.1103,0,26935,0.0730,0.2428,0,84119,0.2279,0.2366,0.3009,0.4794,3622,6113.3,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/05/31,日,日祝,,晴,30.0,20.0,計,270780,350000,0.7737,1.0766,198502,1.3641,141,67,1920.4,4.15,280,0.5036,100,1.4100,0,3060,0.0113,0.2086,0,71833,0.2653,0.2408,0.2766,0.4494,2606,6234.4,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/25,月,平日,,晴,28.0,20.0,計,130697,150000,0.8713,0.8713,213772,0.6114,75,47,1742.6,1.34,83,0.9036,118,0.6356,0,89841,0.6874,0.6874,0,60478,0.4627,0.4627,1.1501,1.1501,2661,2946.9,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/26,火,平日,,晴,29.0,21.0,計,171825,150000,1.1455,1.0084,201325,0.8535,79,51,2175.0,1.41,83,0.9518,107,0.7383,0,68718,0.3999,0.5241,0,64572,0.3758,0.4134,0.7757,0.9375,2878,3582.2,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/27,水,平日,,曇,24.0,22.0,計,176940,180000,0.9830,0.9989,245267,0.7214,92,48,1923.3,1.64,100,0.9200,126,0.7302,0,27671,0.1564,0.3884,0,77707,0.4392,0.4229,0.5956,0.8113,3242,3274.6,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/28,木,平日,,曇,27.0,20.0,計,112386,160000,0.7024,0.9248,261841,0.4292,68,40,1652.7,1.21,88,0.7727,131,0.5191,0,26538,0.2361,0.3595,0,54969,0.4891,0.4355,0.7252,0.7950,2185,3086.1,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/29,金,平日,,晴,27.0,22.0,計,250431,180000,1.3913,1.0272,236138,1.0605,114,71,2196.8,2.04,100,1.1400,130,0.8769,0,54026,0.2157,0.3168,0,82864,0.3309,0.4044,0.5466,0.7211,3195,4702.9,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/30,土,土曜,,晴,29.0,16.0,計,249286,250000,0.9971,1.0202,359881,0.6927,129,64,1932.4,2.30,138,0.9348,195,0.6615,0,38395,0.1540,0.2796,0,106174,0.4259,0.4093,0.5799,0.6889,3973,3764.7,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/05/31,日,日祝,,晴,28.0,20.0,計,400980,270000,1.4851,1.1138,241891,1.6577,188,86,2132.9,3.36,150,1.2533,122,1.5410,0,,0.0000,0.2045,0,117888,0.2940,0.3783,0.2940,0.5828,4487,5361.9,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/25,月,平日,,晴,30.0,18.0,計,151648,160000,0.9478,0.9478,176535,0.8590,89,47,1703.9,1.68,0,,91,0.9780,0,70634,0.4658,0.4658,0,52730,0.3477,0.3477,0.8135,0.8135,2358,3858.7,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/26,火,平日,,晴,30.0,19.0,計,166516,160000,1.0407,0.9943,131841,1.2630,102,51,1632.5,1.92,0,,83,1.2289,0,27442,0.1648,0.3083,0,56652,0.3402,0.3438,0.5050,0.6520,2605,3835.3,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/27,水,平日,,雨,24.0,21.0,計,179347,170000,1.0550,1.0153,173625,1.0330,96,53,1868.2,1.81,0,,99,0.9697,0,43574,0.2430,0.2847,0,64167,0.3578,0.3488,0.6007,0.6336,2857,3766.5,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/28,木,平日,,曇,27.0,20.0,計,129117,170000,0.7595,0.9494,99106,1.3028,59,31,2188.4,1.11,0,,55,1.0727,0,35836,0.2775,0.2832,0,55175,0.4273,0.3650,0.7049,0.6482,2367,3272.9,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/29,金,平日,,晴,26.0,20.0,計,168124,170000,0.9890,0.9575,196306,0.8564,95,53,1769.7,1.79,0,,100,0.9500,0,73704,0.4384,0.3161,0,60514,0.3599,0.3639,0.7983,0.6800,2622,3847.2,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/30,土,土曜,,晴,30.0,13.0,計,353340,300000,1.1778,1.0160,307268,1.1499,162,72,2181.1,3.06,0,,160,1.0125,0,58127,0.1645,0.2694,0,101694,0.2878,0.3405,0.4523,0.6099,4299,4931.5,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/05/31,日,日祝,,晴,30.0,20.0,計,304487,280000,1.0875,1.0302,171259,1.7779,168,70,1812.4,3.17,0,,93,1.8065,0,,0.0000,0.2129,0,78389,0.2574,0.3231,0.2574,0.5360,3364,5430.8,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/05/25,月,平日,,晴,29.0,19.0,計,,0,,,,,,,,0,0,,,,0,46529,,,0,0,,,,,0,,,,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/05/26,火,平日,,晴,29.0,21.0,計,254184,220000,1.1554,1.1554,203799,1.2472,62,23,4099.7,1.29,73,0.8493,71,0.8732,0,45954,0.1808,0.3638,0,52895,0.2081,0.2081,0.3889,0.5719,2319,6576.6,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/05/27,水,平日,,曇,24.0,21.0,計,227855,220000,1.0357,1.0955,342909,0.6645,62,29,3675.1,1.29,73,0.8493,92,0.6739,0,18315,0.0804,0.2299,0,47398,0.2080,0.2081,0.2884,0.4379,1980,6904.7,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/05/28,木,平日,,曇,27.0,20.0,計,241853,260000,0.9302,1.0341,265200,0.9120,65,29,3720.8,1.35,86,0.7558,87,0.7471,0,64824,0.2680,0.2426,0,51385,0.2125,0.2095,0.4805,0.4521,2168,6693.3,,0.0000,
