業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/18,月,平日,,晴,30.0,18.0,計,508562,750000,0.6781,0.6781,453520,1.1214,216,86,2354.5,2.45,375,0.5760,199,1.0854,0,91184,0.1793,0.1793,0,103813,0.2041,0.2041,0.3834,0.3834,4659,6549.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/19,火,平日,,晴,28.0,20.0,計,492924,500000,0.9858,0.8012,554520,0.8889,211,85,2336.1,2.40,250,0.8440,238,0.8866,0,162042,0.3287,0.2529,0,104540,0.2121,0.2080,0.5408,0.4609,4621,6400.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/20,水,平日,,曇,29.0,21.0,計,484321,500000,0.9686,0.8490,520006,0.9314,266,94,1820.8,3.02,250,1.0640,238,1.1176,0,50357,0.1040,0.2043,0,118180,0.2440,0.2198,0.3480,0.4241,5122,5673.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/21,木,平日,,雨,25.0,23.0,計,675134,550000,1.2275,0.9395,586946,1.1502,265,94,2547.7,3.01,275,0.9636,253,1.0474,0,,0.0000,0.1405,0,134285,0.1989,0.2132,0.1989,0.3537,5846,6929.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/22,金,平日,,曇,25.0,20.0,計,599127,550000,1.0893,0.9684,607785,0.9858,253,97,2368.1,2.88,275,0.9200,250,1.0120,0,,0.0000,0.1100,0,110439,0.1843,0.2070,0.1843,0.3170,4813,7468.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/23,土,土曜,,曇,25.0,20.0,計,901240,800000,1.1266,1.0031,1019418,0.8841,379,135,2377.9,4.31,400,0.9475,408,0.9289,0,,0.0000,0.0829,0,158039,0.1754,0.1992,0.1754,0.2821,6923,7810.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/24,日,日祝,,曇,27.0,20.0,計,796767,750000,1.0624,1.0132,964335,0.8262,350,140,2276.5,3.98,375,0.9333,435,0.8046,0,,0.0000,0.0681,0,154435,0.1938,0.1982,0.1938,0.2663,6884,6944.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/18,月,平日,,晴,30.0,17.0,計,115392,120000,0.9616,0.9616,125419,0.9201,65,37,1775.3,0.74,63,1.0317,72,0.9028,0,85269,0.7390,0.7390,0,47963,0.4157,0.4157,1.1546,1.1546,2254,3071.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/19,火,平日,,晴,28.0,19.0,計,138203,120000,1.1517,1.0566,128436,1.0760,86,46,1607.0,0.98,63,1.3651,90,0.9556,0,25181,0.1822,0.4355,0,53406,0.3864,0.3997,0.5686,0.8353,2443,3394.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/05/20,水,平日,,曇,30.0,20.0,計,166152,100000,1.6615,1.2346,109540,1.5168,93,54,1786.6,1.06,53,1.7547,60,1.5500,0,34860,0.2098,0.3462,0,53254,0.3205,0.3684,0.5303,0.7146,2432,4099.1,,0.0000,
