業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/01,土,土曜,,晴,36.0,29.0,計,782865,800000,0.9786,0.9786,598432,1.3082,326,124,2401.4,3.70,347,0.9395,243,1.3416,0,220035,0.2811,0.2811,0,164048,0.2095,0.2095,0.4906,0.4906,7289,6444.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/02,日,日祝,,曇,37.0,30.0,計,736576,750000,0.9821,0.9803,722049,1.0201,339,124,2172.8,3.85,325,1.0431,323,1.0495,0,,0.0000,0.1448,0,156969,0.2131,0.2113,0.2131,0.3561,6951,6358.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/03,月,平日,,曇,38.0,28.0,計,483164,500000,0.9663,0.9769,426403,1.1331,227,87,2128.5,2.58,217,1.0461,181,1.2541,0,132378,0.2740,0.1760,0,103052,0.2133,0.2118,0.4873,0.3877,4619,6276.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/04,火,平日,,晴,34.0,27.0,計,473794,500000,0.9476,0.9711,457249,1.0362,202,78,2345.5,2.30,217,0.9309,202,1.0000,0,128434,0.2711,0.1942,0,91770,0.1937,0.2083,0.4648,0.4025,4108,6920.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/05,水,平日,,晴,35.0,27.0,計,456593,550000,0.8302,0.9461,454788,1.0040,201,75,2271.6,2.28,238,0.8445,264,0.7614,0,156471,0.3427,0.2173,0,110703,0.2425,0.2136,0.5851,0.4309,4872,5623.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/06,木,平日,,曇,35.0,28.0,計,444534,550000,0.8082,0.9254,431763,1.0296,206,74,2157.9,2.34,238,0.8655,190,1.0842,0,141048,0.3173,0.2305,0,124722,0.2806,0.2224,0.5979,0.4529,5461,4884.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/07,金,平日,,曇,35.0,28.0,計,529375,600000,0.8823,0.9193,582609,0.9086,210,75,2520.8,2.39,260,0.8077,231,0.9091,0,201752,0.3811,0.2509,0,104212,0.1969,0.2190,0.5780,0.4698,4653,6826.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/08,土,土曜,,晴,34.0,27.0,計,741589,800000,0.9270,0.9205,579632,1.2794,459,139,1615.7,5.22,347,1.3228,251,1.8287,0,245323,0.3308,0.2636,0,152334,0.2054,0.2168,0.5362,0.4804,6739,6602.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/09,日,日祝,,晴,34.0,28.0,計,894450,800000,1.1181,0.9475,1028592,0.8696,399,150,2241.7,4.53,347,1.1499,451,0.8847,0,,0.0000,0.2211,0,144119,0.1611,0.2078,0.1611,0.4289,6417,8363.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/10,月,平日,,晴,35.0,28.0,計,799789,700000,1.1426,0.9684,920374,0.8690,370,144,2161.6,4.20,304,1.2171,422,0.8768,0,434495,0.5433,0.2617,0,162821,0.2036,0.2073,0.7468,0.4690,7249,6619.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/11,火,日祝,,晴,31.0,25.0,計,1155536,850000,1.3595,1.0133,895820,1.2899,454,178,2545.2,5.16,368,1.2337,397,1.1436,0,81819,0.0708,0.2323,0,158421,0.1371,0.1965,0.2079,0.4288,7048,9837.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/12,水,平日,,雨,26.0,23.0,計,1148514,850000,1.3512,1.0481,885887,1.2965,425,167,2702.4,4.83,368,1.1549,406,1.0468,0,196605,0.1712,0.2242,0,159984,0.1393,0.1889,0.3105,0.4130,7029,9803.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/13,木,平日,,曇,31.0,24.0,計,1074502,850000,1.2641,1.0683,964021,1.1146,424,160,2534.2,4.82,369,1.1491,390,1.0872,0,227137,0.2114,0.2228,0,165725,0.1542,0.1850,0.3656,0.4078,7412,8698.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/14,金,平日,,曇,33.0,25.0,計,1030472,800000,1.2881,1.0860,888509,1.1598,443,160,2326.1,5.03,347,1.2767,380,1.1658,0,,0.0000,0.2014,0,156974,0.1523,0.1819,0.1523,0.3833,7121,8682.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/15,土,土曜,,晴,32.0,26.0,計,1016070,750000,1.3548,1.1050,769351,1.3207,396,144,2565.8,4.50,325,1.2185,326,1.2147,0,,0.0000,0.1840,0,159241,0.1567,0.1797,0.1567,0.3638,6994,8716.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/16,日,日祝,,曇,32.0,26.0,計,740558,650000,1.1393,1.1069,569862,1.2995,336,120,2204.0,3.82,281,1.1957,236,1.4237,0,,0.0000,0.1731,0,162161,0.2190,0.1821,0.2190,0.3552,7225,6150.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/01,土,土曜,,晴,35.0,28.0,計,308225,350000,0.8806,0.8806,357230,0.8628,170,67,1813.1,1.93,184,0.9239,179,0.9497,0,42797,0.1389,0.1389,0,105148,0.3411,0.3411,0.4800,0.4800,4524,4087.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/02,日,日祝,,曇,37.0,29.0,計,283793,310000,0.9155,0.8970,310530,0.9139,144,62,1970.8,1.64,163,0.8834,169,0.8521,0,,0.0000,0.0723,0,87877,0.3097,0.3260,0.3097,0.3983,3749,4541.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/03,月,平日,,雨,37.0,28.0,計,125928,140000,0.8995,0.8974,142783,0.8820,60,31,2098.8,0.68,74,0.8108,80,0.7500,0,74670,0.5930,0.1636,0,47795,0.3795,0.3354,0.9725,0.4990,2270,3328.5,,0.0000,
