業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/17,月,平日,,曇,31.0,26.0,計,526955,450000,1.1710,1.1710,518832,1.0157,251,102,2099.4,2.85,195,1.2872,232,1.0819,0,106619,0.2023,0.2023,0,116481,0.2210,0.2210,0.4234,0.4234,4954,6382.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/18,火,平日,,曇,32.0,26.0,計,413029,500000,0.8261,0.9895,494291,0.8356,190,78,2173.8,2.16,217,0.8756,214,0.8879,0,120264,0.2912,0.2414,0,104690,0.2535,0.2353,0.5446,0.4767,4625,5358.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/19,水,平日,,晴,34.0,26.0,計,538075,500000,1.0762,1.0194,464339,1.1588,254,106,2118.4,2.89,217,1.1705,214,1.1869,0,47704,0.0887,0.1858,0,111482,0.2072,0.2251,0.2958,0.4108,4847,6660.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/20,木,平日,,晴,34.0,27.0,計,566226,500000,1.1325,1.0484,633711,0.8935,273,94,2074.1,3.10,217,1.2581,291,0.9381,0,79370,0.1402,0.1731,0,114581,0.2024,0.2188,0.3425,0.3919,5073,6696.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/21,金,平日,,晴,35.0,28.0,計,529563,550000,0.9628,1.0295,667515,0.7933,237,101,2234.4,2.69,238,0.9958,269,0.8810,0,133731,0.2525,0.1895,0,98451,0.1859,0.2120,0.4384,0.4015,4311,7370.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/22,土,土曜,,晴,35.0,28.0,計,806726,800000,1.0084,1.0244,908679,0.8878,351,136,2298.4,3.99,347,1.0115,387,0.9070,0,188252,0.2334,0.1999,0,143227,0.1775,0.2038,0.4109,0.4037,6196,7812.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/23,日,日祝,,晴,36.0,28.0,計,568114,750000,0.7575,0.9750,779562,0.7288,266,98,2135.8,3.02,325,0.8185,353,0.7535,0,,0.0000,0.1712,0,156424,0.2753,0.2141,0.2753,0.3853,6822,4996.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/24,月,平日,,晴,35.0,29.0,計,372756,500000,0.7455,0.9498,500255,0.7451,169,64,2205.7,1.92,217,0.7788,219,0.7717,0,100064,0.2684,0.1796,0,96309,0.2584,0.2179,0.5268,0.3975,4182,5348.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/25,火,平日,,晴,34.0,29.0,計,494684,500000,0.9894,0.9537,450643,1.0977,202,84,2448.9,2.30,217,0.9309,173,1.1676,0,49762,0.1006,0.1715,0,107780,0.2179,0.2179,0.3185,0.3894,4758,6238.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/26,水,平日,,晴,35.0,28.0,計,467085,500000,0.9342,0.9519,393455,1.1871,199,75,2347.2,2.26,217,0.9171,187,1.0642,0,7840,0.0168,0.1578,0,116105,0.2486,0.2206,0.2654,0.3784,4767,5879.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/27,木,平日,,晴,34.0,30.0,計,449687,550000,0.8176,0.9398,566749,0.7935,209,74,2151.6,2.38,238,0.8782,258,0.8101,0,35910,0.0799,0.1517,0,110211,0.2451,0.2225,0.3249,0.3742,4483,6018.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/28,金,平日,,曇,32.0,24.0,計,574267,550000,1.0441,0.9484,664277,0.8645,266,93,2158.9,3.02,238,1.1176,269,0.9888,0,,0.0000,0.1379,0,132304,0.2304,0.2232,0.2304,0.3611,5057,6813.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/29,土,土曜,,晴,33.0,27.0,計,619936,800000,0.7749,0.9298,775688,0.7992,264,99,2348.2,3.00,347,0.7608,342,0.7719,0,,0.0000,0.1255,0,151298,0.2441,0.2251,0.2441,0.3506,6283,5920.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/08/30,日,日祝,,晴,34.0,29.0,計,708886,750000,0.9452,0.9312,588528,1.2045,359,122,1974.6,4.08,325,1.1046,318,1.1289,0,,0.0000,0.1139,0,174693,0.2464,0.2271,0.2464,0.3410,6709,6339.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/17,月,平日,,曇,32.0,25.0,計,105352,200000,0.5268,0.5268,197715,0.5328,57,33,1848.3,0.65,105,0.5429,105,0.5429,0,88417,0.8393,0.8393,0,42548,0.4039,0.4039,1.2431,1.2431,2021,3127.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/18,火,平日,,曇,32.0,26.0,計,147940,110000,1.3449,0.8171,116317,1.2719,87,47,1700.5,0.99,63,1.3810,59,1.4746,0,32095,0.2169,0.4758,0,56280,0.3804,0.3902,0.5974,0.8660,2522,3519.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/19,水,平日,,晴,34.0,25.0,計,135855,200000,0.6793,0.7630,204358,0.6648,72,39,1886.9,0.82,84,0.8571,115,0.6261,0,44235,0.3256,0.4234,0,51894,0.3820,0.3873,0.7076,0.8107,2244,3632.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/20,木,平日,,晴,34.0,27.0,計,191371,120000,1.5948,0.9215,121334,1.5772,117,64,1635.6,1.33,153,0.7647,73,1.6027,0,45728,0.2389,0.3626,0,64165,0.3353,0.3702,0.5742,0.7327,2884,3981.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/21,金,平日,,晴,35.0,27.0,計,143828,160000,0.8989,0.9169,158897,0.9052,70,36,2054.7,0.80,84,0.8333,92,0.7609,0,122266,0.8501,0.4594,0,53292,0.3705,0.3702,1.2206,0.8296,2370,3641.2,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/22,土,土曜,,晴,35.0,27.0,計,255696,290000,0.8817,0.9074,287484,0.8894,120,61,2130.8,1.36,153,0.7843,147,0.8163,0,19614,0.0767,0.3595,0,88382,0.3457,0.3638,0.4224,0.7234,3816,4020.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/23,日,日祝,,晴,36.0,27.0,計,326111,360000,0.9059,0.9071,356089,0.9158,177,77,1842.4,2.01,189,0.9365,180,0.9833,0,,0.0000,0.2698,0,94846,0.2908,0.3456,0.2908,0.6154,4099,4773.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/24,月,平日,,晴,35.0,27.0,計,147118,160000,0.9195,0.9083,167083,0.8805,75,35,1961.6,0.85,84,0.8929,89,0.8427,0,70667,0.4803,0.2911,0,56549,0.3844,0.3495,0.8647,0.6406,2492,3542.2,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/25,火,平日,,晴,34.0,27.0,計,115483,120000,0.9624,0.9121,119272,0.9682,58,32,1991.1,0.66,63,0.9206,70,0.8286,0,15527,0.1345,0.2796,0,55420,0.4799,0.3591,0.6144,0.6387,2583,2682.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/26,水,平日,,晴,35.0,27.0,計,121490,140000,0.8678,0.9087,135809,0.8946,69,39,1760.7,0.78,74,0.9324,82,0.8415,0,17395,0.1432,0.2698,0,54637,0.4497,0.3656,0.5929,0.6354,2414,3019.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/27,木,平日,,晴,33.0,28.0,計,125738,150000,0.8383,0.9035,152664,0.8236,68,37,1849.1,0.77,79,0.8608,92,0.7391,0,11584,0.0921,0.2575,0,47076,0.3744,0.3662,0.4665,0.6237,2177,3465.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/28,金,平日,,曇,32.0,25.0,計,138753,120000,1.1563,0.9177,125614,1.1046,61,33,2274.6,0.69,63,0.9683,73,0.8356,0,55931,0.4031,0.2678,0,54337,0.3916,0.3680,0.7947,0.6358,2375,3505.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/29,土,土曜,,晴,33.0,27.0,計,298224,300000,0.9941,0.9271,296947,1.0043,154,69,1936.5,1.75,158,0.9747,140,1.1000,0,38628,0.1295,0.2495,0,105035,0.3522,0.3659,0.4817,0.6154,4361,4103.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/08/30,日,日祝,,晴,35.0,28.0,計,335906,310000,1.0836,0.9448,309493,1.0853,168,73,1999.4,1.91,163,1.0307,166,1.0120,0,,0.0000,0.2171,0,101425,0.3019,0.3576,0.3019,0.5748,4203,4795.2,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/08/17,月,平日,,曇,31.0,26.0,計,203690,250000,0.8148,0.8148,202854,1.0041,104,48,1958.6,3.06,159,0.6541,81,1.2840,0,48819,0.2397,0.2397,0,59165,0.2905,0.2905,0.5301,0.5301,2598,4704.2,,0.0000,
