業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/01,水,平日,,雨,26.0,23.0,計,431236,400000,1.0781,1.0781,356021,1.2113,182,70,2369.4,2.07,0,,156,1.1667,0,,0.0000,0.0000,0,98950,0.2295,0.2295,0.2295,0.2295,4382,5904.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/02,木,平日,,曇,29.0,22.0,計,596675,600000,0.9945,1.0279,530813,1.1241,193,69,3091.6,2.19,0,,174,1.1092,0,,0.0000,0.0000,0,114994,0.1927,0.2081,0.1927,0.2081,4952,7229.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/03,金,平日,,晴,30.0,22.0,計,515068,500000,1.0301,1.0287,631948,0.8150,264,94,1951.0,3.00,0,,249,1.0602,0,,0.0000,0.0000,0,116958,0.2271,0.2145,0.2271,0.2145,5087,6075.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/04,土,土曜,,雨,28.0,22.0,計,728338,800000,0.9104,0.9875,851826,0.8550,315,133,2312.2,3.58,0,,361,0.8726,0,,0.0000,0.0000,0,166463,0.2286,0.2190,0.2286,0.2190,7283,6000.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/07/05,日,日祝,,雨,25.0,22.0,計,752212,700000,1.0746,1.0078,687193,1.0946,336,123,2238.7,3.82,0,,301,1.1163,0,,0.0000,0.0000,0,136958,0.1821,0.2098,0.1821,0.2098,6159,7327.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/01,水,平日,,雨,26.0,22.0,計,118762,170000,0.6986,0.6986,161711,0.7344,72,35,1649.5,0.82,89,0.8090,84,0.8571,0,38907,0.3276,0.3276,0,54213,0.4565,0.4565,0.7841,0.7841,2309,3086.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/02,木,平日,,曇,28.0,23.0,計,135998,110000,1.2363,0.9099,104407,1.3026,73,42,1863.0,0.83,58,1.2586,60,1.2167,0,20143,0.1481,0.2318,0,54573,0.4013,0.4270,0.5494,0.6588,2302,3544.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/03,金,平日,,晴,31.0,21.0,計,168654,150000,1.1244,0.9847,143244,1.1774,90,47,1873.9,1.02,79,1.1392,74,1.2162,0,53906,0.3196,0.2668,0,53410,0.3167,0.3831,0.6363,0.6498,2243,4511.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/04,土,土曜,,雨,27.0,23.0,計,342401,350000,0.9783,0.9818,344932,0.9927,171,76,2002.3,1.94,184,0.9293,178,0.9607,0,38663,0.1129,0.1980,0,99025,0.2892,0.3411,0.4021,0.5391,4191,4901.9,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/07/05,日,日祝,,雨,25.0,22.0,計,306754,320000,0.9586,0.9751,315290,0.9729,164,70,1870.5,1.86,168,0.9762,158,1.0380,0,,0.0000,0.1414,0,96852,0.3157,0.3338,0.3157,0.4752,4154,4430.7,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/01,水,平日,,雨,26.0,22.0,計,153023,210000,0.7287,0.7287,263128,0.5816,81,40,1889.2,2.38,134,0.6045,116,0.6983,0,101393,0.6626,0.6626,0,48640,0.3179,0.3179,0.9805,0.9805,2036,4509.5,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/02,木,平日,,雨,29.0,22.0,計,204768,210000,0.9751,0.8519,147755,1.3859,93,50,2201.8,2.74,134,0.6940,63,1.4762,0,58275,0.2846,0.4463,0,52618,0.2570,0.2830,0.5416,0.7293,2292,5360.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/03,金,平日,,晴,30.0,22.0,計,208856,210000,0.9946,0.8994,286433,0.7292,93,44,2245.8,2.74,134,0.6940,122,0.7623,0,69563,0.3331,0.4045,0,57887,0.2772,0.2809,0.6102,0.6854,2605,4810.5,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/04,土,土曜,,雨,27.0,22.0,計,344603,360000,0.9572,0.9205,291555,1.1819,148,61,2328.4,4.35,276,0.5362,114,1.2982,0,24076,0.0699,0.2780,0,68708,0.1994,0.2500,0.2692,0.5280,2986,6924.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/07/05,日,日祝,,雨,24.0,22.0,計,304985,350000,0.8714,0.9076,229522,1.3288,122,65,2499.9,3.59,280,0.4357,101,1.2079,0,,0.0000,0.2083,0,70021,0.2296,0.2449,0.2296,0.4532,2982,6136.5,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/01,水,平日,,雨,26.0,22.0,計,188646,180000,1.0480,1.0480,293324,0.6431,122,63,1546.3,2.18,100,1.2200,160,0.7625,0,41047,0.2176,0.2176,0,68884,0.3652,0.3652,0.5827,0.5827,3070,3686.9,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/02,木,平日,,晴,28.0,22.0,計,159212,180000,0.8845,0.9663,228533,0.6967,82,55,1941.6,1.46,100,0.8200,129,0.6357,0,,0.0000,0.1180,0,69231,0.4348,0.3970,0.4348,0.5150,2939,3250.3,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/03,金,平日,,晴,30.0,21.0,計,207584,180000,1.1532,1.0286,267173,0.7770,119,62,1744.4,2.13,100,1.1900,134,0.8881,0,4240,0.0204,0.0815,0,72154,0.3476,0.3786,0.3680,0.4601,3077,4047.8,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/04,土,土曜,,雨,28.0,23.0,計,212871,260000,0.8187,0.9604,341486,0.6234,100,50,2128.7,1.79,144,0.6944,173,0.5780,0,,0.0000,0.0589,0,91695,0.4308,0.3930,0.4308,0.4520,3768,3389.7,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/07/05,日,日祝,,雨,25.0,22.0,計,269948,260000,1.0383,0.9795,412773,0.6540,131,72,2060.7,2.34,144,0.9097,206,0.6359,0,,0.0000,0.0436,0,85408,0.3164,0.3731,0.3164,0.4167,3462,4678.5,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/07/01,水,平日,,雨,25.0,21.0,計,158806,180000,0.8823,0.8823,152261,1.0430,95,48,1671.6,1.79,0,,83,1.1446,0,73130,0.4605,0.4605,0,60012,0.3779,0.3779,0.8384,0.8384,2653,3591.5,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/07/02,木,平日,,雨,28.0,22.0,計,164452,180000,0.9136,0.8979,157758,1.0424,84,42,1957.8,1.58,0,,92,0.9130,0,57633,0.3505,0.4045,0,59748,0.3633,0.3705,0.7138,0.7750,2672,3692.8,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/07/03,金,平日,,晴,30.0,22.0,計,268680,190000,1.4141,1.0763,225800,1.1899,140,70,1919.1,2.64,0,,120,1.1667,0,59092,0.2199,0.3207,0,69024,0.2569,0.3189,0.4768,0.6397,3011,5354.0,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/07/04,土,土曜,,雨,27.0,22.0,計,357792,350000,1.0223,1.0553,317218,1.1279,196,89,1825.5,3.70,0,,187,1.0481,0,41187,0.1151,0.2433,0,89749,0.2508,0.2933,0.3660,0.5365,4070,5274.6,,0.0000,
