業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/01,月,平日,,晴,29.0,22.0,計,433426,450000,0.9632,0.9632,551178,0.7864,195,74,2222.7,2.22,195,1.0000,244,0.7992,0,148077,0.3416,0.3416,0,111246,0.2567,0.2567,0.5983,0.5983,4831,5383.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/02,火,平日,,雨,23.0,19.0,計,577347,600000,0.9622,0.9626,610929,0.9450,227,71,2543.4,2.58,260,0.8731,264,0.8598,0,201139,0.3484,0.3455,0,115143,0.1994,0.2240,0.5478,0.5695,5029,6888.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/03,水,平日,,曇,27.0,19.0,計,391749,550000,0.7123,0.8766,553661,0.7076,204,68,1920.3,2.32,239,0.8536,246,0.8293,0,,0.0000,0.2490,0,95147,0.2429,0.2293,0.2429,0.4782,4117,5709.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/04,木,平日,,晴,27.0,21.0,計,509723,550000,0.9268,0.8894,609824,0.8359,211,74,2415.7,2.40,239,0.8828,236,0.8941,0,,0.0000,0.1826,0,109969,0.2157,0.2257,0.2157,0.4083,4700,6507.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/05,金,平日,,曇,24.0,20.0,計,428222,600000,0.7137,0.8511,572116,0.7485,198,79,2162.7,2.25,260,0.7615,290,0.6828,0,,0.0000,0.1492,0,101215,0.2364,0.2276,0.2364,0.3768,4463,5757.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/06,土,土曜,,晴,27.0,20.0,計,1101340,950000,1.1593,0.9302,799547,1.3775,383,133,2875.6,4.35,412,0.9296,367,1.0436,0,,0.0000,0.1015,0,191346,0.1737,0.2104,0.1737,0.3118,8342,7921.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/07,日,日祝,,雨,23.0,19.0,計,884470,800000,1.1056,0.9614,925301,0.9559,400,147,2211.2,4.55,347,1.1527,372,1.0753,0,,0.0000,0.0807,0,158626,0.1793,0.2040,0.1793,0.2848,7030,7548.8,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/01,月,平日,,晴,29.0,20.0,計,158361,120000,1.3197,1.3197,93379,1.6959,78,42,2030.3,0.89,63,1.2381,46,1.6957,0,157803,0.9965,0.9965,0,52745,0.3331,0.3331,1.3295,1.3295,2214,4291.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/02,火,平日,,雨,23.0,19.0,計,96832,110000,0.8803,1.1095,95804,1.0107,51,28,1898.7,0.58,58,0.8793,58,0.8793,0,45351,0.4683,0.7961,0,54752,0.5654,0.4212,1.0338,1.2173,2453,2368.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/03,水,平日,,曇,26.0,19.0,計,86260,110000,0.7842,1.0043,96712,0.8919,42,26,2053.8,0.48,58,0.7241,62,0.6774,0,37537,0.4352,0.7049,0,48015,0.5566,0.4554,0.9918,1.1603,2121,2440.2,,0.0000,
