業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/08,月,平日,,雨,25.0,20.0,計,348846,500000,0.6977,0.6977,734449,0.4750,185,56,1885.7,2.10,217,0.8525,285,0.6491,0,65906,0.1889,0.1889,0,104675,0.3001,0.3001,0.4890,0.4890,4568,4582.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/09,火,平日,,曇,22.0,18.0,計,342759,550000,0.6232,0.6587,700295,0.4894,156,66,2197.2,1.77,239,0.6527,273,0.5714,0,105130,0.3067,0.2473,0,98602,0.2877,0.2939,0.5944,0.5412,4265,4821.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/10,水,平日,,晴,27.0,18.0,計,260707,500000,0.5214,0.6144,605719,0.4304,115,50,2267.0,1.31,217,0.5300,231,0.4978,0,55316,0.2122,0.2377,0,87151,0.3343,0.3050,0.5465,0.5427,3843,4070.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/11,木,平日,,晴,29.0,19.0,計,397378,500000,0.7948,0.6584,593059,0.6700,166,69,2393.8,1.89,217,0.7650,270,0.6148,0,83659,0.2105,0.2297,0,103232,0.2598,0.2917,0.4703,0.5214,4364,5463.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/12,金,平日,,晴,28.0,21.0,計,900149,750000,1.2002,0.8035,715567,1.2580,280,90,3214.8,3.18,326,0.8589,367,0.7629,0,168240,0.1869,0.2126,0,128627,0.1429,0.2321,0.3298,0.4447,5585,9670.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/13,土,土曜,,晴,30.0,21.0,計,813766,900000,0.9042,0.8280,973737,0.8357,321,123,2535.1,3.65,391,0.8210,382,0.8403,0,16586,0.0204,0.1615,0,162093,0.1992,0.2234,0.2196,0.3849,7009,6966.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/06/14,日,日祝,,雨,27.0,21.0,計,734880,800000,0.9186,0.8441,800822,0.9177,313,125,2347.9,3.56,347,0.9020,354,0.8842,0,,0.0000,0.1303,0,148181,0.2016,0.2192,0.2016,0.3495,6629,6651.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/08,月,平日,,雨,24.0,19.0,計,110496,130000,0.8500,0.8500,112216,0.9847,58,33,1905.1,0.66,68,0.8529,68,0.8529,0,51989,0.4705,0.4705,0,33795,0.3058,0.3058,0.7764,0.7764,1645,4030.2,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/09,火,平日,,曇,22.0,18.0,計,149775,100000,1.4978,1.1316,71226,2.1028,87,43,1721.6,0.99,53,1.6415,36,2.4167,0,67609,0.4514,0.4595,0,42074,0.2809,0.2915,0.7323,0.7510,2068,4345.5,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/06/10,水,平日,,晴,28.0,17.0,計,124491,120000,1.0374,1.0993,103918,1.1980,74,44,1682.3,0.84,63,1.1746,60,1.2333,0,40781,0.3276,0.4168,0,45167,0.3628,0.3146,0.6904,0.7314,2117,3528.3,,0.0000,
