業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/01,火,平日,,晴,34.0,28.0,計,390177,450000,0.8671,0.8671,483246,0.8074,172,71,2268.5,1.95,204,0.8431,241,0.7137,0,84381,0.2163,0.2163,0,98834,0.2533,0.2533,0.4696,0.4696,4200,5574.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/02,水,平日,,雨,33.0,27.0,計,373737,400000,0.9343,0.8987,537350,0.6955,198,78,1887.6,2.25,181,1.0939,230,0.8609,0,55252,0.1478,0.1828,0,105128,0.2813,0.2670,0.4291,0.4498,4622,4851.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/03,木,平日,,雨,28.0,24.0,計,343576,400000,0.8589,0.8860,541808,0.6341,148,59,2321.5,1.68,181,0.8177,233,0.6352,0,65874,0.1917,0.1856,0,100994,0.2940,0.2754,0.4857,0.4609,4404,4680.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/04,金,平日,,雨,25.0,23.0,計,628347,550000,1.1424,0.9644,466624,1.3466,235,83,2673.8,2.67,249,0.9438,201,1.1692,0,47068,0.0749,0.1455,0,118167,0.1881,0.2438,0.2630,0.3893,5127,7353.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/05,土,土曜,,曇,30.0,22.0,計,912985,850000,1.0741,0.9996,1083229,0.8428,358,121,2550.2,4.07,386,0.9275,481,0.7443,0,102144,0.1119,0.1339,0,154579,0.1693,0.2181,0.2812,0.3520,6691,8187.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/09/06,日,日祝,,曇,28.0,25.0,計,558268,750000,0.7444,0.9433,974080,0.5731,282,114,1979.7,3.20,340,0.8294,368,0.7663,0,,0.0000,0.1106,0,142409,0.2551,0.2245,0.2551,0.3351,6182,5418.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/01,火,平日,,曇,35.0,27.0,計,115838,130000,0.8911,0.8911,146868,0.7887,62,34,1868.4,0.70,68,0.9118,81,0.7654,0,51789,0.4471,0.4471,0,51581,0.4453,0.4453,0.8924,0.8924,2260,3075.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/02,水,平日,,雨,33.0,26.0,計,123221,100000,1.2322,1.0394,126233,0.9761,58,31,2124.5,0.66,53,1.0943,79,0.7342,0,53618,0.4351,0.4409,0,55874,0.4534,0.4495,0.8886,0.8904,2459,3006.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/03,木,平日,,雨,28.0,24.0,計,71051,120000,0.5921,0.8860,135596,0.5240,43,28,1652.3,0.49,63,0.6825,70,0.6143,0,8457,0.1190,0.3672,0,46788,0.6585,0.4974,0.7775,0.8646,2094,2035.8,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/04,金,平日,,雨,24.0,22.0,計,139890,150000,0.9326,0.9000,178572,0.7834,74,40,1890.4,0.84,79,0.9367,83,0.8916,0,55317,0.3954,0.3760,0,46716,0.3339,0.4466,0.7294,0.8225,2247,3735.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/05,土,土曜,,曇,29.0,21.0,計,309776,250000,1.2391,1.0130,268236,1.1549,167,75,1854.9,1.90,132,1.2652,135,1.2370,0,35019,0.1130,0.2688,0,88243,0.2849,0.3806,0.3979,0.6494,3740,4969.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/09/06,日,日祝,,曇,27.0,24.0,計,365692,250000,1.4628,1.1255,253510,1.4425,200,86,1828.5,2.27,132,1.5152,132,1.5152,0,,0.0000,0.1814,0,95092,0.2600,0.3415,0.2600,0.5229,3964,5535.2,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/01,火,平日,,曇,33.0,27.0,計,139251,180000,0.7736,0.7736,175695,0.7926,62,30,2246.0,1.82,114,0.5439,88,0.7045,0,65603,0.4711,0.4711,0,50292,0.3612,0.3612,0.8323,0.8323,2193,3809.9,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/02,水,平日,,曇,32.0,26.0,計,155643,180000,0.8647,0.8192,190909,0.8153,69,40,2255.7,2.03,114,0.6053,86,0.8023,0,9362,0.0602,0.2542,0,47083,0.3025,0.3302,0.3627,0.5844,2047,4562.1,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/03,木,平日,,雨,28.0,24.0,計,161770,180000,0.8987,0.8457,158952,1.0177,70,36,2311.0,2.06,114,0.6140,72,0.9722,0,57445,0.3551,0.2900,0,50220,0.3104,0.3232,0.6655,0.6132,2149,4516.6,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/04,金,平日,,雨,25.0,23.0,計,219572,200000,1.0979,0.9138,199768,1.0991,99,44,2217.9,2.91,127,0.7795,95,1.0421,0,66707,0.3038,0.2944,0,51425,0.2342,0.2943,0.5380,0.5888,2222,5929.0,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/05,土,土曜,,晴,30.0,21.0,計,243473,330000,0.7378,0.8595,232836,1.0457,94,38,2590.1,2.76,253,0.3715,93,1.0108,0,15415,0.0633,0.2333,0,63852,0.2623,0.2858,0.3256,0.5191,2801,5215.4,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/09/06,日,日祝,,雨,29.0,24.0,計,224889,300000,0.7496,0.8355,240076,0.9367,82,42,2742.5,2.41,240,0.3417,105,0.7810,0,,0.0000,0.1874,0,54952,0.2444,0.2777,0.2444,0.4651,2440,5530.1,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/01,火,平日,,晴,34.0,27.0,計,230740,160000,1.4421,1.4421,248596,0.9282,113,65,2041.9,2.02,84,1.3452,141,0.8014,0,29777,0.1291,0.1291,0,55739,0.2416,0.2416,0.3706,0.3706,2510,5515.7,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/02,水,平日,,曇,34.0,26.0,計,202919,180000,1.1273,1.2755,200365,1.0127,93,68,2181.9,1.66,94,0.9894,121,0.7686,0,79855,0.3935,0.2528,0,59649,0.2940,0.2661,0.6875,0.5189,2677,4548.1,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/03,木,平日,,雨,28.0,24.0,計,220754,180000,1.2264,1.2585,274089,0.8054,105,59,2102.4,1.88,94,1.1170,138,0.7609,0,,0.0000,0.1675,0,78925,0.3575,0.2969,0.3575,0.4645,3321,3988.3,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/04,金,平日,,雨,24.0,23.0,計,181321,200000,0.9066,1.1607,256057,0.7081,97,58,1869.3,1.73,105,0.9238,131,0.7405,0,,0.0000,0.1312,0,50476,0.2784,0.2929,0.2784,0.4241,2295,4740.4,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/05,土,土曜,,曇,30.0,21.0,計,300127,270000,1.1116,1.1473,399148,0.7519,140,73,2143.8,2.50,142,0.9859,210,0.6667,0,,0.0000,0.0965,0,89277,0.2975,0.2941,0.2975,0.3906,3711,4852.5,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/09/06,日,日祝,,曇,28.0,25.0,計,259440,270000,0.9609,1.1074,337634,0.7684,119,60,2180.2,2.13,142,0.8380,163,0.7301,0,,0.0000,0.0786,0,77934,0.3004,0.2953,0.3004,0.3738,3291,4730.0,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/09/01,火,平日,,曇,33.0,26.0,計,169156,160000,1.0572,1.0572,155546,1.0875,92,55,1838.7,1.74,0,,100,0.9200,0,52995,0.3133,0.3133,0,67550,0.3993,0.3993,0.7126,0.7126,3041,3337.5,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/09/02,水,平日,,曇,33.0,25.0,計,140226,150000,0.9348,0.9980,137399,1.0206,76,43,1845.1,1.43,0,,79,0.9620,0,,0.0000,0.1713,0,59724,0.4259,0.4114,0.4259,0.5827,2668,3153.5,,0.0000,
